control_id,dataset,case_id,source_case_id,presence_stratum,class_stratum,original_text,assigned_text,original_text_sha256,assigned_text_sha256,source_is_self,text_changed
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:14,medclipseg_clinicdb:77,present,polyp,"two medium orange round polyp, located in bottom, bottom left of the image
","two small white round polyp, located in center, bottom of the image
",cfc64b4edad44fb87731daa29397eb9d4834943a02324ff689c9faab94463a78,097471c81000716401670dffe488efb198f87c057b3422bd97fe6546f0b0f353,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:15,medclipseg_clinicdb:201,present,polyp,"two large brown round polyp, located in center, left of the image
","two small white circle polyp, located in right, right of the image
",f020a50974cced43fccc59f5c0aefaac9f7400de70d9ce0ee69fa11f0ffdca0c,1ada87e275206dddacb37ec972bbb94d1d7b983d736a92b304e20198cbd16051,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:157,medclipseg_clinicdb:14,present,polyp,"one small white triangular polyp, located in top of the image
","two medium orange round polyp, located in bottom, bottom left of the image
",ff68d333f710fe973c95fc2c636d33940a1c1487a50957abe8a9b49fd7039f3b,cfc64b4edad44fb87731daa29397eb9d4834943a02324ff689c9faab94463a78,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:162,medclipseg_clinicdb:157,present,polyp,"one small white oval polyp, located in top of the image
","one small white triangular polyp, located in top of the image
",9cf3840aa9e61f08ecd410c22ee6b04a51cc8f773423ca6dc5f5ec64c3f787a7,ff68d333f710fe973c95fc2c636d33940a1c1487a50957abe8a9b49fd7039f3b,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:174,medclipseg_clinicdb:2,present,polyp,"one medium white round polyp, located in center of the image
","one medium yellow round polyp, located in bottom of the image
",cde8b959df2f6d5e63d2d96ccb53c2c64c8f320ffe76e47e0436151be5dbff9b,96341fe28a1e3859e47b741b6164e8c0994be67a1849febe5aba7be3a3fa5858,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:176,medclipseg_clinicdb:343,present,polyp,"one medium yellow round polyp, located in bottom of the image
","one small pink circle polyp, located in bottom of the image
",96341fe28a1e3859e47b741b6164e8c0994be67a1849febe5aba7be3a3fa5858,628ae05aa35e8933e46a405b9dfb663f0ee0b9120d4e8f7ccb309bce8177b5bc,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:2,medclipseg_clinicdb:523,present,polyp,"one medium yellow round polyp, located in bottom of the image
","one small pink circle polyp, located in bottom of the image
",96341fe28a1e3859e47b741b6164e8c0994be67a1849febe5aba7be3a3fa5858,628ae05aa35e8933e46a405b9dfb663f0ee0b9120d4e8f7ccb309bce8177b5bc,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:200,medclipseg_clinicdb:515,present,polyp,"one small white octagon polyp, located in center of the image
","one small white round polyp, located in right of the image
",64c593afe88586fe11eb9943871d8ec742bb85c8c1e68a8af7ab58bc7fb43ecb,d6d0c9d01baea8045176d3bfcd680fd85755f8ef1d69464e282e4bd4407a1099,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:201,medclipseg_clinicdb:504,present,polyp,"two small white circle polyp, located in right, right of the image
","one medium pink round polyp, located in bottom of the image
",1ada87e275206dddacb37ec972bbb94d1d7b983d736a92b304e20198cbd16051,fd6e4d408f1d621024ea24e70e958d14490aca6d145d75fee55bc9477d781f9c,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:211,medclipseg_clinicdb:540,present,polyp,"one medium white mouth polyp, located in right of the image
","one medium white round polyp, located in center of the image
",84fa6e40f5f56315c341aeff0de8629506f1eed31821debf9ee4b9e9d4b48586,cde8b959df2f6d5e63d2d96ccb53c2c64c8f320ffe76e47e0436151be5dbff9b,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:218,medclipseg_clinicdb:597,present,polyp,"one small pink round polyp, located in bottom right of the image
","one small white circle polyp, located in bottom right of the image
",775f5c702bbe747a870536d54095e90c142f59fdb10c2bb5fb562061e7a4a427,a5c66216ab42c2eddfef49bdc93f01eb79132c09aabd57e0807a925caaf650d1,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:242,medclipseg_clinicdb:390,present,polyp,"one medium white octagon polyp, located in bottom of the image
","one medium white round polyp, located in right of the image
",a8427841fbffb48ca342d607b3fcbdc6d0e2f66ac847e13253113705fa4b5c08,00a34644bbad4d878bca63b48de4b17f5ed425b7cafb2a94cd2a27af7cf52ff0,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:246,medclipseg_clinicdb:471,present,polyp,"one medium white octagon polyp, located in center of the image
","one medium white triangular polyp, located in right of the image
",5ba9baf58b79cf1f2bacfa061ee322fa6afde69b9d4636581799da24e46bc1c6,3221cb4207d41560bfc1e11d4853f08bd73ebc8730aee0312e6202659de6d626,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:288,medclipseg_clinicdb:64,present,polyp,"one small white circle polyp, located in center of the image
","one small white circle polyp, located in right of the image
",8842bf9b1be1fca1d8186078aa45e6cc200da527b5820b3a834ec711b19e724c,c3f5e5d81dcd8e9da3d1659b9183aaf06715a53040029120438e9f9283b10833,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:293,medclipseg_clinicdb:429,present,polyp,"one small white circle polyp, located in center of the image
","one small white heart polyp, located in center of the image
",8842bf9b1be1fca1d8186078aa45e6cc200da527b5820b3a834ec711b19e724c,90bd3fcd71430c7fb1fe0bceaf3e0efaecea9bb3b1f69a7cba3701adf3171ca0,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:30,medclipseg_clinicdb:174,present,polyp,"one medium white circle polyp, located in center of the image
","one medium white round polyp, located in center of the image
",e1c482389bcca04d1348e5a933907aea237d959813f690205e5d1ddd90feaee6,cde8b959df2f6d5e63d2d96ccb53c2c64c8f320ffe76e47e0436151be5dbff9b,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:312,medclipseg_clinicdb:442,present,polyp,"one small white octagon polyp, located in bottom right of the image
","one small white round polyp, located in right of the image
",6b97082b40f2c86b8be7f2c85f433ca43690bb402653baf0a2e198e7344999ca,d6d0c9d01baea8045176d3bfcd680fd85755f8ef1d69464e282e4bd4407a1099,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:313,medclipseg_clinicdb:374,present,polyp,"one small white circle polyp, located in bottom right of the image
","one small white circle polyp, located in center of the image
",a5c66216ab42c2eddfef49bdc93f01eb79132c09aabd57e0807a925caaf650d1,8842bf9b1be1fca1d8186078aa45e6cc200da527b5820b3a834ec711b19e724c,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:331,medclipseg_clinicdb:312,present,polyp,"one small white circle polyp, located in center of the image
","one small white octagon polyp, located in bottom right of the image
",8842bf9b1be1fca1d8186078aa45e6cc200da527b5820b3a834ec711b19e724c,6b97082b40f2c86b8be7f2c85f433ca43690bb402653baf0a2e198e7344999ca,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:332,medclipseg_clinicdb:477,present,polyp,"one small yellow circle polyp, located in center of the image
","two medium white a protrusion polyp, located in right, left of the image
",272a019d900f95a69861abedb9fea6a9deb713339d1f490cc0de519a3ba81c9d,28692d4984b4cbfacfe81391bdc89adfc433c52f2ff40eba62158c15cc3bc2d0,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:343,medclipseg_clinicdb:440,present,polyp,"one small pink circle polyp, located in bottom of the image
","one small pink oval polyp, located in bottom left of the image
",628ae05aa35e8933e46a405b9dfb663f0ee0b9120d4e8f7ccb309bce8177b5bc,4bc5e3af45619f8a3d8cd1ab0fa992b22881e2629b5a8fd01ae5331c96f2f124,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:35,medclipseg_clinicdb:572,present,polyp,"one small white oval polyp, located in center of the image
","one small white round polyp, located in right of the image
",d2e20f81335abec7c7acb677644f071a1dfa21b42eaba789d8b440b65d3fd25d,d6d0c9d01baea8045176d3bfcd680fd85755f8ef1d69464e282e4bd4407a1099,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:374,medclipseg_clinicdb:200,present,polyp,"one small white circle polyp, located in center of the image
","one small white octagon polyp, located in center of the image
",8842bf9b1be1fca1d8186078aa45e6cc200da527b5820b3a834ec711b19e724c,64c593afe88586fe11eb9943871d8ec742bb85c8c1e68a8af7ab58bc7fb43ecb,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:382,medclipseg_clinicdb:293,present,polyp,"one small white circle polyp, located in bottom of the image
","one small white circle polyp, located in center of the image
",3326b404405dace6ce7eb6d6e792a6ba0556b67a5988fe2ebfe79280ccd9c3d0,8842bf9b1be1fca1d8186078aa45e6cc200da527b5820b3a834ec711b19e724c,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:390,medclipseg_clinicdb:396,present,polyp,"one medium white round polyp, located in right of the image
","one medium yellow round polyp, located in right of the image
",00a34644bbad4d878bca63b48de4b17f5ed425b7cafb2a94cd2a27af7cf52ff0,c8f1ec7df195fcc3ceecceb128d97320d728da84b0fd12103b22a4fd4c6c0846,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:393,medclipseg_clinicdb:547,present,polyp,"one small yellow round polyp, located in right of the image
","two small white a large, oval bump polyp, located in center, bottom left of the image
",c4c96a9fdaf9416e725105f2d28669e338ae95b1fbeffb984911bef7b702f664,036508cee7ae59de14f6874b5c58ac14b8144ec5d0f0b0b3bc91ea0ad472760b,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:396,medclipseg_clinicdb:93,present,polyp,"one medium yellow round polyp, located in right of the image
","one small pink circle polyp, located in center of the image
",c8f1ec7df195fcc3ceecceb128d97320d728da84b0fd12103b22a4fd4c6c0846,dd80d5ad5377072223c305d662e75dbce0eb952e83d6ba863d0bf2ffabd706a7,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:41,medclipseg_clinicdb:35,present,polyp,"one small white circle polyp, located in center of the image
","one small white oval polyp, located in center of the image
",8842bf9b1be1fca1d8186078aa45e6cc200da527b5820b3a834ec711b19e724c,d2e20f81335abec7c7acb677644f071a1dfa21b42eaba789d8b440b65d3fd25d,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:419,medclipseg_clinicdb:483,present,polyp,"two medium white ovoid polyp, located in top, bottom right of the image
","one medium orange round polyp, located in center of the image
",09430506c8704462d8925e728357c18870776b765aea14466047e87da299dd80,7d545f29cb83853dc8b5d5b8fb17be31c0d7dda3b0d27947cb1935a4072f51ac,0,1
STRATIFIED_DERANGEMENT_V1_20260719,medclipseg_clinicdb,medclipseg_clinicdb:429,medclipseg_clinicdb:44,present,polyp,"one small white heart polyp, located in center of the image
","one small white round polyp, located in center of the image
",90bd3fcd71430c7fb1fe0bceaf3e0efaecea9bb3b1f69a7cba3701adf3171ca0,d620bb579e837454ffb34fe3d5baf3da2070e585521d42961f7a93172b790506,0,1
